pointID,urbanID,lat / long,admin_name,label,Valid_date,LCP_16,LCS_16,conf_2016,LCP_17,LCS_17,conf_2017,LCP_18,LCS_18,conf_2018,LCP_19,LCS_19,conf_2019,LCP_20,LCS_20,conf_2020,Comment
1,184,29.667277751482956 /  -26.465576308593015,Mpumalanga / Gert Sibande District Municipality,Barren,Mar 06 2023,Short_vegetation,,High,,,,,,,,,,,,,
2,184,29.666747118457597 /  -26.463993327719045,Mpumalanga / Gert Sibande District Municipality,Building,Mar 06 2023,Building,,High,,,,,,,,,,,,,
3,184,29.66277851852003 /  -26.461955518537618,Mpumalanga / Gert Sibande District Municipality,Building,Mar 06 2023,Building,,Low,,,,,,,,,,,,,
4,184,29.66545843825315 /  -26.462303328419786,Mpumalanga / Gert Sibande District Municipality,Pavement,Mar 06 2023,Pavement,,Low,,,,,,,,,,,,,
5,184,29.66742044271667 /  -26.461875254718656,Mpumalanga / Gert Sibande District Municipality,Pavement,Mar 06 2023,Pavement,,Low,,,,,,,,,,,,,
6,184,29.666194189926976 /  -26.462530742573513,Mpumalanga / Gert Sibande District Municipality,Short_vegetation,Mar 07 2023,Short_vegetation,,High,,,,,,,,,,,,,
7,184,29.662288017404148 /  -26.460546442604727,Mpumalanga / Gert Sibande District Municipality,Short_vegetation,Mar 07 2023,Short_vegetation,,High,,,,,,,,,,,,,
8,184,29.67233437207756 /  -26.45836594218959,Mpumalanga / Gert Sibande District Municipality,Water,Mar 07 2023,Water,,High,,,,,,,,,,,,,
9,184,29.673743448010462 /  -26.459739345314063,Mpumalanga / Gert Sibande District Municipality,Water,Mar 07 2023,Water,,High,,,,,,,,,,,,,
10,162,27.53725436027293 /  -25.99711652922115,Gauteng / West Rand District Municipality,Barren,Mar 07 2023,Barren,,High,,,,,,,,,,,,,
11,162,27.530788663745433 /  -25.991359829761155,Gauteng / West Rand District Municipality,Building,Mar 07 2023,Building,,High,,,,,,,,,,,,,
12,162,27.533936789089168 /  -25.99330845692151,Gauteng / West Rand District Municipality,Building,Mar 07 2023,Short_vegetation,,Low,Building,Short_vegetation,Low,,,,,,,,,,
13,162,27.530512199480125 /  -25.99725476135381,Gauteng / West Rand District Municipality,Pavement,Mar 07 2023,Pavement,,High,,,,,,,,,,,,,
14,162,27.5315199563182 /  -25.99250135963084,Gauteng / West Rand District Municipality,Pavement,Mar 07 2023,Pavement,,High,,,,,,,,,,,,,
15,162,27.536063780291656 /  -25.99301415625198,Gauteng / West Rand District Municipality,Short_vegetation,Mar 07 2023,Short_vegetation,,High,,,,,,,,,,,,,
16,162,27.52929486489253 /  -25.992719855582454,Gauteng / West Rand District Municipality,Short_vegetation,Mar 07 2023,Short_vegetation,,Low,,,,,,,Short_vegetation,,High,,,,
17,162,27.539461615294385 /  -25.997352861576985,Gauteng / West Rand District Municipality,Tall_vegetation,Mar 07 2023,Tall_vegetation,,High,,,,,,,,,,,,,
18,162,27.530895682170716 /  -25.997526766518067,Gauteng / West Rand District Municipality,Tall_vegetation,Mar 07 2023,Tall_vegetation,,High,,,,,,,,,,,,,
19,162,27.535653542994744 /  -25.989562812036613,Gauteng / West Rand District Municipality,Water,Mar 07 2023,Water,,High,,,,,,,,,,,,,
20,162,27.53533694681995 /  -25.98994629472721,Gauteng / West Rand District Municipality,Wetland,Mar 07 2023,Short_vegetation,,Low,,,,,,,,,,,,,
21,354,26.675876432475626 /  -25.632576099899843,North West / Bojanala District Municipality,Building,Mar 07 2023,Building,,High,,,,,,,,,,,,,
22,354,26.68481247098674 /  -25.6326563637188,North West / Bojanala District Municipality,Building,Mar 07 2023,Building,,High,,,,,,,,,,,,,
23,354,26.681445849691386 /  -25.63101541453114,North West / Bojanala District Municipality,Pavement,Mar 07 2023,Pavement,,High,,,,,,,,,,,,,
24,354,26.68338109954858 /  -25.63242449046402,North West / Bojanala District Municipality,Pavement,Mar 07 2023,Pavement,,Low,,,,,,,,,,,,,
25,354,26.68590049164378 /  -25.632928368883064,North West / Bojanala District Municipality,Pavement,Mar 07 2023,Pavement,,High,,,,,,,,,,,,,
26,354,26.68240901551893 /  -25.634176917178035,North West / Bojanala District Municipality,Short_vegetation,Mar 07 2023,Short_vegetation,,High,,,,,,,,,,,,,
27,354,26.677236458296928 /  -25.63000765769306,North West / Bojanala District Municipality,Short_vegetation,Mar 07 2023,Short_vegetation,,High,,,,,,,,,,,,,
28,354,26.683180440001177 /  -25.63035100847418,North West / Bojanala District Municipality,Short_vegetation,Mar 07 2023,Short_vegetation,,High,,,,,,,,,,,,,
29,354,26.690471070223563 /  -25.627675547842106,North West / Bojanala District Municipality,Wetland,Mar 07 2023,Wetland,,Low,,,,,,,,,,,,,even though this looks like a wetland; there is more evidence for short vegetation (landsat chis; TCW; TCG)
30,354,26.690114342139278 /  -25.629878343762513,North West / Bojanala District Municipality,Wetland,Mar 07 2023,Short_vegetation,,Low,,,,,,,,,,,,,
31,198,29.992560255129728 /  -25.674157217223225,Mpumalanga / Nkangala District Municipality,Building,Mar 07 2023,Building,,High,,,,,,,,,,,,,
32,198,29.995730675978727 /  -25.677666529752287,Mpumalanga / Nkangala District Municipality,Building,Mar 07 2023,Building,,High,,,,,,,,,,,,,
33,198,29.9942101225195 /  -25.674491649802235,Mpumalanga / Nkangala District Municipality,Pavement,Mar 07 2023,Pavement,,High,,,,,,,,,,,,,
34,198,29.991472234472685 /  -25.676047876069887,Mpumalanga / Nkangala District Municipality,Short_vegetation,Mar 07 2023,Short_vegetation,,High,,,,,,,,,,,,,
35,198,29.993599225675187 /  -25.67646257246786,Mpumalanga / Nkangala District Municipality,Short_vegetation,Mar 07 2023,Short_vegetation,,Low,,,,,,,,,,Barren,,High,soccer field
36,198,29.98778455790148 /  -25.676743495834224,Mpumalanga / Nkangala District Municipality,Pavement,Mar 08 2023,Pavement,Short_vegetation,High,,,,,,,,,,,,,
37,198,29.995619198452392 /  -25.67680592324897,Mpumalanga / Nkangala District Municipality,Tall_vegetation,Mar 08 2023,Tall_vegetation,,High,,,,,,,,,,,,,
38,198,29.987797935204654 /  -25.66206859426734,Mpumalanga / Nkangala District Municipality,Water,Mar 08 2023,Short_vegetation,,High,,,,,,,Wetland,,High,Short_vegetation,,Low,
39,198,29.991418725260047 /  -25.66222020370315,Mpumalanga / Nkangala District Municipality,Water,Mar 08 2023,Water,,High,,,,,,,,,,,,,
40,198,30.00058663702593 /  -25.6603384630586,Mpumalanga / Nkangala District Municipality,Water,Mar 08 2023,Water,,High,,,,,,,,,,,,,
41,,,,,,Water,,High,,,,,,,,,,,,,
42,198,30.009923994631844 /  -25.68457813638513,Mpumalanga / Nkangala District Municipality,Water,Mar 08 2023,Water,,High,,,,,,,,,,,,,
43,198,30.021932353768776 /  -25.68360159325443,Mpumalanga / Nkangala District Municipality,Water,Mar 08 2023,Water,,High,,,,,,,,,,,,,
44,198,30.02104499265914 /  -25.68910858305543,Mpumalanga / Nkangala District Municipality,Wetland,Mar 08 2023,Short_vegetation,,Low,,,,,,,Wetland,,Low,,,,
45,198,30.019756312454696 /  -25.675557374954007,Mpumalanga / Nkangala District Municipality,Wetland,Mar 08 2023,Short_vegetation,,High,,,,,,,,,,,,,
46,198,30.018204545288093 /  -25.67388967116002,Mpumalanga / Nkangala District Municipality,Wetland,Mar 08 2023,Short_vegetation,,Low,,,,,,,,,,,,,
47,198,30.027234224921322 /  -25.675356715406608,Mpumalanga / Nkangala District Municipality,Wetland,Mar 08 2023,Wetland,,High,,,,,,,,,,,,,
48,198,30.02758203480349 /  -25.674308826659043,Mpumalanga / Nkangala District Municipality,Wetland,Mar 08 2023,Wetland,,High,,,,,,,,,,,,,
49,198,30.02520087484095 /  -25.675744657198255,Mpumalanga / Nkangala District Municipality,Wetland,Mar 08 2023,Short_vegetation,,High,,,,,,,,,,,,,
50,99,31.499112137046954 /  -28.888754380359735,KwaZulu-Natal / Uthungulu District Municipality,Barren,Mar 08 2023,Short_vegetation,,High,,,,,,,,,,,,,
51,99,31.49523271913045 /  -28.88841102957863,KwaZulu-Natal / Uthungulu District Municipality,Building,Mar 08 2023,Building,,High,,,,,,,,,,,,,
52,99,31.490769158975954 /  -28.885775700856033,KwaZulu-Natal / Uthungulu District Municipality,Building,Mar 08 2023,Building,,High,,,,,,,,,,,,,
53,99,31.496262771473795 /  -28.888005251382758,KwaZulu-Natal / Uthungulu District Municipality,Pavement,Mar 08 2023,Pavement,,High,,,,,,,,,,,,,
54,99,31.49006462100951 /  -28.889316227092472,KwaZulu-Natal / Uthungulu District Municipality,Pavement,Mar 08 2023,Pavement,,High,,,,,,,,,,,,,
55,99,31.50148437880739 /  -28.88586042377605,KwaZulu-Natal / Uthungulu District Municipality,Pavement,Mar 08 2023,Pavement,,High,,,,,,,,,,,,,
56,99,31.49837192627208 /  -28.887862560149046,KwaZulu-Natal / Uthungulu District Municipality,Short_vegetation,Mar 08 2023,Short_vegetation,,High,,,,,,,,,,,,,
57,99,31.494336439818717 /  -28.887581636782674,KwaZulu-Natal / Uthungulu District Municipality,Short_vegetation,Mar 08 2023,Short_vegetation,,High,,,,,,,,,,,,,
58,99,31.494728840711407 /  -28.883501559318777,KwaZulu-Natal / Uthungulu District Municipality,Tall_vegetation,Mar 08 2023,Tall_vegetation,,High,,,,,,,,,,,,,
59,99,31.48907915967669 /  -28.887175858586808,KwaZulu-Natal / Uthungulu District Municipality,Tall_vegetation,Mar 08 2023,Tall_vegetation,,High,,,,,,,,,,,,,
60,99,31.50264374508128 /  -28.888888153391342,KwaZulu-Natal / Uthungulu District Municipality,Wetland,Mar 08 2023,Wetland,,High,,,,,,,,,,,,,I think this is water but it has algae on top of the water's surface; which makes it look like grass 
61,99,31.505051659650142 /  -28.889574854953565,KwaZulu-Natal / Uthungulu District Municipality,Wetland,Mar 08 2023,Short_vegetation,,Low,,,,Wetland,,Low,Short_vegetation,,Low,Wetland,,Low,hard to tell if this is a grassland or wetland
62,122,25.03370099201785 /  -27.252589808122,North West / Dr Ruth Segomotsi Mompati District Municipality,Barren,Mar 08 2023,Barren,,High,,,,,,,,,,,,,
63,122,25.035163577163377 /  -27.25473017662765,North West / Dr Ruth Segomotsi Mompati District Municipality,Barren,Mar 08 2023,Barren,,High,,,,,,,,,,,,,
64,122,25.032880517424015 /  -27.254368989442323,North West / Dr Ruth Segomotsi Mompati District Municipality,Building,Mar 08 2023,Building,,High,,,,,,,,,,,,,
65,122,25.032938485737713 /  -27.251755956225004,North West / Dr Ruth Segomotsi Mompati District Municipality,Building,Mar 08 2023,Building,,High,,,,,,,,,,,,,
66,122,25.033045504162995 /  -27.25275925396203,North West / Dr Ruth Segomotsi Mompati District Municipality,Short_vegetation,Mar 08 2023,Short_vegetation,,High,,,,,,,,,,,,,
67,122,25.036608325904695 /  -27.2536332377685,North West / Dr Ruth Segomotsi Mompati District Municipality,Short_vegetation,Mar 08 2023,Short_vegetation,,High,,,,,,,,,,,,,
68,122,25.03365194190626 /  -27.249000231773973,North West / Dr Ruth Segomotsi Mompati District Municipality,Tall_vegetation,Mar 08 2023,Tall_vegetation,,High,,,,,,,,,,,,,
69,122,25.03278241720084 /  -27.24800585223906,North West / Dr Ruth Segomotsi Mompati District Municipality,Water,Mar 08 2023,Wetland,,High,,,,,,,,,,,,,
70,122,25.033321968428304 /  -27.247912211116933,North West / Dr Ruth Segomotsi Mompati District Municipality,Water,Mar 08 2023,Wetland,,High,,,,,,,,,,,,,
71,122,25.032934026636653 /  -27.24710957292731,North West / Dr Ruth Segomotsi Mompati District Municipality,Wetland,Mar 08 2023,Short_vegetation,,High,,,,,,,,,,,,,
72,122,25.036224843214097 /  -27.25266561283991,North West / Dr Ruth Segomotsi Mompati District Municipality,Wetland,Mar 08 2023,Short_vegetation,,High,,,,,,,,,,,,,
73,50,27.545120214531202 /  -27.944887542174733,Free State / Fezile Dabi District Municipality,Barren,Mar 08 2023,Barren,,Low,,,,,,,,,,,,,
74,50,27.552865673061042 /  -27.94468688262734,Free State / Fezile Dabi District Municipality,Barren,Mar 08 2023,Barren,,High,,,,,,,,,,,,,
75,50,27.55050680860377 /  -27.93822564520089,Free State / Fezile Dabi District Municipality,Building,Mar 08 2023,Barren,,Low,Building,,Low,Building,,High,,,,Building,Short_vegetation,High,
76,50,27.545022114308036 /  -27.942925537711222,Free State / Fezile Dabi District Municipality,Building,Mar 08 2023,Building,,High,,,,,,,,,,,,,
77,50,27.55273190002944 /  -27.943563189161864,Free State / Fezile Dabi District Municipality,Pavement,Mar 08 2023,Pavement,,High,,,,,,,,,,,,,
78,50,27.5482817171781 /  -27.94209168581423,Free State / Fezile Dabi District Municipality,Pavement,Mar 08 2023,Pavement,,High,,,,,,,,,,,,,
79,50,27.55365047484645 /  -27.943902080841927,Free State / Fezile Dabi District Municipality,Short_vegetation,Mar 08 2023,Short_vegetation,,High,,,,,,,,,,,,,
80,50,27.546226071592464 /  -27.942818519285936,Free State / Fezile Dabi District Municipality,Short_vegetation,Mar 08 2023,Barren,,Low,Short_vegetation,,High,,,,,,,,,,
81,50,27.55481875932246 /  -27.943086065349146,Free State / Fezile Dabi District Municipality,Tall_vegetation,Mar 08 2023,Tall_vegetation,,Low,Tall_vegetation,,High,,,,,,,,,,
82,50,27.556401740196428 /  -27.948597514251205,Free State / Fezile Dabi District Municipality,Tall_vegetation,Mar 08 2023,Tall_vegetation,,High,,,,,,,,,,,,,
83,50,27.549574856483606 /  -27.948717909979656,Free State / Fezile Dabi District Municipality,Water,Mar 08 2023,Wetland,,High,Water,,High,,,,,,,,,,
84,50,27.564187330635747 /  -27.94416070870303,Free State / Fezile Dabi District Municipality,Water,Mar 08 2023,Wetland,,High,,,,,,,,,,,,,
85,50,27.564900786804294 /  -27.94359440286924,Free State / Fezile Dabi District Municipality,Wetland,Mar 08 2023,Wetland,,Low,,,,,,,,,,,,,
86,50,27.55773501141141 /  -27.94751841179627,Free State / Fezile Dabi District Municipality,Wetland,Mar 08 2023,Short_vegetation,,Low,,,,,,,,,,,,,
87,50,27.55073868185855 /  -27.949168279186043,Free State / Fezile Dabi District Municipality,Wetland,Mar 08 2023,Wetland,,High,Water,,Low,,,,,,,,,,
