Map OA, Map OA 95% CI
0.6316982106476817,0.03675586491748925

class,1,2,3,4,5,6,7
Map OA components, 0.05471494908290795,0.16125271421289816,0.06856984938370604,0.2784120443280861,0.06344481722062018,0.0014413804716053333,0.003862455947858019

class, Map UA, Map UA 95% CI
1,0.7059536023753589,0.09778365965147495
2,0.4799693112057358,0.07271557895317171
3,0.47774250219796704,0.10299089157540121
4,0.8477370521030869,0.04891947713250056
5,0.4697384688932357,0.09499024738664251
6,0.706230117052154,0.12679353958206224
7,0.17550722591073545,0.11580166294741408

Class, 1,2,3,4,5,6,7
Map PA, 0.35742027553856565,0.8420764073022817,0.4263134400713441,0.6865242200700115,0.5763049252145578,0.8632656658618517,0.9016061259518181
Map PA 95% CI, 0.06977943468338524,0.0631066468462363,0.101464764364192,0.049761977497574855,0.11643997170489813,0.12055500777237663,0.09429350414491092
